ConsultantSkillId,ConsultantId,SkillId,LevelId,LastUsed,Experience,Interest,CoreSkill,Approved,ApprovedBy,ApprovedDate
1554,304357,4342,4,2016,2,0,0,0,NULL,NULL
1561,304357,4342,2,2016,2,0,0,0,NULL,NULL
4399,304419,4361,5,2016,14,0,1,1,Kilyin  Shirsit,36:41.0
4400,304419,4361,5,2016,14,0,1,1,Kilyin  Shirsit,36:41.0
4401,304419,4361,5,2016,14,0,1,1,Kilyin  Shirsit,36:41.0
4402,304419,4361,5,2016,14,0,1,1,Kilyin  Shirsit,36:41.0
5481,304439,4351,1,2016,NULL,1,1,1,Cilii  Jinsin,34:59.0
5482,304439,4351,1,2016,NULL,1,1,1,Cilii  Jinsin,34:59.0
5873,304441,4351,4,2014,5,1,1,0,NULL,NULL
5874,304441,4351,3,2013,3,1,0,0,NULL,NULL
5875,304441,4351,3,2013,2,1,0,0,NULL,NULL
5876,304441,4351,3,2014,5,1,0,0,NULL,NULL
2948,304049,4346,5,2017,16,1,1,1,Pitir  cond,33:32.0
2949,304049,4346,5,2017,16,1,1,1,Pitir  cond,33:32.0
2950,304049,4346,5,2017,17,1,1,1,Pitir  cond,33:32.0
2951,304049,4347,5,2017,15,1,1,1,Pitir  cond,33:32.0
2952,304049,4348,5,2017,15,1,1,1,Pitir  cond,33:32.0
2953,304049,4348,5,2017,4,1,1,1,Pitir  cond,33:32.0
6040,304145,4351,5,2017,NULL,0,0,0,NULL,NULL
6041,304145,4352,5,2017,NULL,0,0,0,NULL,NULL
2240,400760,4343,5,2016,5,1,1,0,NULL,NULL
3463,400777,4351,2,2016,4,1,0,0,NULL,NULL
2611,400789,4345,2,2016,1,0,0,1,Nivilli  Hiigh,00:43.0
2482,400841,4344,1,2015,5,1,0,0,NULL,NULL
6173,400950,4351,3,2017,2,0,1,1,Rocirt  Pooli,42:03.0
2761,400954,4344,2,2016,1,0,0,0,NULL,NULL
6318,401140,4360,5,2017,17,0,1,0,NULL,NULL
6319,401140,4360,5,2017,17,0,1,0,NULL,NULL
6320,401140,4360,4,2017,2,0,1,0,NULL,NULL
2404,401403,4344,5,2016,NULL,0,0,0,NULL,NULL
3162,401403,4350,5,2016,NULL,0,0,0,NULL,NULL
6240,401413,4352,5,2017,14,0,1,0,NULL,NULL
6241,401413,4352,5,2017,20,0,1,0,NULL,NULL
6242,401413,4352,5,2017,20,0,1,0,NULL,NULL
6243,401413,4352,5,2017,20,0,1,0,NULL,NULL
6244,401413,4355,5,2017,20,0,1,0,NULL,NULL
6245,401413,4357,5,2017,10,0,1,0,NULL,NULL
6246,401413,4357,2,2017,1,0,0,0,NULL,NULL
6250,401413,4357,2,2016,4,0,0,0,NULL,NULL
6251,401413,4358,5,2017,15,0,0,0,NULL,NULL
6252,401413,4358,5,2017,10,0,0,0,NULL,NULL
6253,401413,4359,4,2012,10,0,0,0,NULL,NULL
6256,401413,4359,5,2016,20,0,0,0,NULL,NULL
6257,401413,4360,5,2016,20,0,0,0,NULL,NULL
6258,401413,4360,5,2016,20,0,0,0,NULL,NULL
6259,401413,4360,5,2016,10,0,0,0,NULL,NULL
6219,401449,4352,5,2017,NULL,0,0,0,NULL,NULL
2584,401514,4348,5,2016,7,1,1,1,Kilyin  Shirsit,12:21.0
2585,401514,4348,4,2016,5,1,0,1,Kilyin  Shirsit,12:21.0
2586,401514,4348,4,2016,5,1,1,1,Kilyin  Shirsit,12:21.0
2588,401514,4348,4,2016,3,1,1,1,Kilyin  Shirsit,12:21.0
2590,401514,4348,2,2016,0,1,0,1,Kilyin  Shirsit,12:21.0
2591,401514,4349,5,2016,8,1,1,1,Kilyin  Shirsit,12:21.0
2594,401514,4349,4,2016,3,1,0,1,Kilyin  Shirsit,12:21.0
2595,401514,4349,5,2016,8,1,0,1,Kilyin  Shirsit,12:21.0
2596,401514,4349,3,2016,3,1,0,1,Kilyin  Shirsit,12:21.0
2597,401514,4350,4,2016,5,1,0,1,Kilyin  Shirsit,12:21.0
1581,401541,4343,2,2016,1,0,0,0,NULL,NULL
2658,401754,4343,5,2016,10,1,0,0,NULL,NULL
2659,401754,4343,5,2016,10,1,0,0,NULL,NULL
2660,401754,4344,5,2016,10,1,0,0,NULL,NULL
2663,401754,4344,5,2016,10,1,0,0,NULL,NULL
1979,401790,4343,5,2016,8,1,1,0,NULL,NULL
1211,401939,4342,5,2016,19,0,1,0,NULL,NULL
1212,401939,4342,5,2016,19,0,1,0,NULL,NULL
1213,401939,4342,2,2016,5,0,1,0,NULL,NULL
2557,403443,4348,5,2016,1,0,0,1,Mirk  Michiils,55:33.0
1746,403559,4343,5,2016,NULL,0,0,1,critt  Cimpcill,58:45.0
4732,403678,4361,4,2016,9,1,1,0,NULL,NULL
2133,403834,4343,5,2016,10,1,1,1,Kimil  Sihriwit,59:51.0
2111,403931,4343,4,2016,NULL,1,1,0,NULL,NULL
2112,403931,4343,4,2016,NULL,1,1,0,NULL,NULL
2578,404080,4344,1,2016,1,1,1,1,Dinis  coutsyk,38:57.0
5764,404561,4351,5,2016,7,0,1,0,NULL,NULL
5765,404561,4351,5,2016,2,1,1,0,NULL,NULL
5766,404561,4351,5,2010,5,0,1,0,NULL,NULL
